productType,variantId,id,sku,categories,prices,tax,name.en,name.de,name.it,description.en,description.de,description.it,slug.en,slug.de,slug.it,metaTitle.en,metaDescription.en,metaKeywords.en,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,colorFreeDefinition.de,colorFreeDefinition.it,details.en,details.de,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
,11,,M0E20000000E4WC,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4WC,80136,peuterey,no,,xxxl,54,blue,blue,,,,,,sporty,women,s15,,,,
,12,,M0E20000000E4WD,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4WD,80136,peuterey,no,,xxxl,56,blue,blue,,,,,,sporty,women,s15,,,,
,13,,M0E20000000E4WE,,EUR 49875;EUR 32705 b2b;BE-EUR 39900;BG-EUR 39900;DK-EUR 39900;DE-EUR 39900;EE-EUR 39900;FI-EUR 39900;FR-EUR 39900;GR-EUR 39900;IE-EUR 39900;IT-EUR 39900;HR-EUR 39900;LV-EUR 39900;LT-EUR 39900;LU-EUR 39900;MT-EUR 39900;NL-EUR 39900;AT-EUR 39900;PL-EUR 39900;PT-EUR 39900;RO-EUR 39900;SE-EUR 39900;SK-EUR 39900;SI-EUR 39900;ES-EUR 39900;CZ-EUR 39900;HU-EUR 39900;GB-EUR 39900;CY-EUR 39900,,,,,,,,,,,,,,RAJA 215,80136,M0E20000000E4WE,80136,peuterey,no,,xxxl,58,blue,blue,,,,,,sporty,women,s15,,,,
main,1,56689601-5d83-4100-a11c-c396f50a6c2a,M0E20000000DONI,WOMEN>shoes>sandalen,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,standard,Sandals “Georgie” Sam Edelman black-white,Sandalen „Georgie“ Sam Edelman schwarz-weiß,Sandali “Georgie” Sam Edelman nero-bianco,,,,sam-edelman-sandals-georgie-black-white,sam-edelman-sandalen-georgie-schwarz-weiss,sam-edelman-sandali-georgie-nero-bianco,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONI,73308,samedelman,no,,34,34,multicolored,black-white,schwarz-weiß,nero-bianco,,,,sporty,women,s15,,,,
,2,,M0E20000000DONJ,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONJ,73308,samedelman,no,,34.5,34.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
,3,,M0E20000000DONK,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONK,73308,samedelman,no,,35,35,multicolored,black-white,,,,,,sporty,women,s15,,,,
,4,,M0E20000000DONL,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONL,73308,samedelman,no,,35.5,35.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
,5,,M0E20000000DONM,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONM,73308,samedelman,no,,36,36,multicolored,black-white,,,,,,sporty,women,s15,true,,,
,6,,M0E20000000DONN,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONN,73308,samedelman,no,,36.5,36.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
,7,,M0E20000000DONO,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONO,73308,samedelman,no,,37,37,multicolored,black-white,,,,,,sporty,women,s15,true,,,
,8,,M0E20000000DONP,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONP,73308,samedelman,no,,37.5,37.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
,9,,M0E20000000DONQ,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONQ,73308,samedelman,no,,38,38,multicolored,black-white,,,,,,sporty,women,s15,true,,,
,10,,M0E20000000DONR,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONR,73308,samedelman,no,,38.5,38.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
,11,,M0E20000000DONS,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONS,73308,samedelman,no,,39,39,multicolored,black-white,,,,,,sporty,women,s15,true,,,
,12,,M0E20000000DONT,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONT,73308,samedelman,no,,39.5,39.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
,13,,M0E20000000DONU,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONU,73308,samedelman,no,,40,40,multicolored,black-white,,,,,,sporty,women,s15,,,,
,14,,M0E20000000DONV,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONV,73308,samedelman,no,,40.5,40.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
,15,,M0E20000000DONW,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONW,73308,samedelman,no,,41,41,multicolored,black-white,,,,,,sporty,women,s15,,,,
,16,,M0E20000000DONX,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONX,73308,samedelman,no,,41.5,41.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
,17,,M0E20000000DONY,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONY,73308,samedelman,no,,42,42,multicolored,black-white,,,,,,sporty,women,s15,,,,
,18,,M0E20000000DONZ,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DONZ,73308,samedelman,no,,42.5,42.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
,19,,M0E20000000DOO0,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DOO0,73308,samedelman,no,,43,43,multicolored,black-white,,,,,,sporty,women,s15,,,,
,20,,M0E20000000DOO1,,EUR 15625;EUR 10246 b2b;BE-EUR 12500;BG-EUR 12500;DK-EUR 12500;DE-EUR 12500;EE-EUR 12500;FI-EUR 12500;FR-EUR 12500;GR-EUR 12500;IE-EUR 12500;IT-EUR 12500;HR-EUR 12500;LV-EUR 12500;LT-EUR 12500;LU-EUR 12500;MT-EUR 12500;NL-EUR 12500;AT-EUR 12500;PL-EUR 12500;PT-EUR 12500;RO-EUR 12500;SE-EUR 12500;SK-EUR 12500;SI-EUR 12500;ES-EUR 12500;CZ-EUR 12500;HU-EUR 12500;GB-EUR 12500;CY-EUR 12500,,,,,,,,,,,,,,B9538L7102 MODERN IVORY,73308,M0E20000000DOO1,73308,samedelman,no,,43.5,43.5,multicolored,black-white,,,,,,sporty,women,s15,,,,
